"code","iso","country","OZD.ind.1995","OZD.ind.1996","OZD.ind.1997","OZD.ind.1998","OZD.ind.1999","OZD.ind.2000","OZD.ind.2001","OZD.ind.2002","OZD.ind.2003","OZD.ind.2004","OZD.ind.2005","OZD.ind.2006","OZD.ind.2007","OZD.ind.2008","OZD.ind.2009","OZD.ind.2010","OZD.ind.2011","OZD.ind.2012","OZD.ind.2013","OZD.ind.2014","OZD.ind.2015","OZD.ind.2016","OZD.ind.2017","OZD.ind.2018","OZD.ind.2019","OZD.ind.2020","OZD.ind.2021","OZD.ind.2022"
140,"CAF","Central African Republic",10.3992620706425,10.8286009409098,11.6533728195619,14.4474455628107,15.6161489930586,20.3852501884992,23.1300003482811,25.2249756708932,22.6737265088897,21.1706788763848,15.4726886815226,12.0018480339128,11.184940009261,14.9963045549285,17.8576696425637,18.2220275968278,18.0850592557821,19.5863806865029,18.943805313168,19.8914623089172,17.115803063281,14.7101487480815,11.4422925361489,14.2577790564932,13.8071175267436,13.8071175267436,13.8071175267436,13.8071175267436
148,"TCD","Chad",37.7588177114525,37.4678003067325,36.4373448759238,37.5794845335214,38.1868735161257,43.9974001211972,45.933236140768,47.4998394228068,44.179013523582,39.7133250504945,35.1409346841397,30.9138763501388,30.7336262135153,34.7613711367014,37.6173175332944,38.0537130955366,35.888024269533,36.0782750212882,33.6837540027434,32.9429843379005,32.2363660347948,33.1907285379027,32.7202219176328,31.0782367003369,30.4992425353949,30.4992425353949,30.4992425353949,30.4992425353949
152,"CHL","Chile",53.8909004776054,55.3045673808797,55.9776477719438,53.870986417809,52.5107420492823,53.4548156257712,52.2039747266445,52.6248062794318,53.3277294032308,55.3273756134114,56.6915823079922,56.8912430414709,56.7738256855822,58.4759332773449,60.1809277657979,61.5760850919097,62.2552764242632,65.6622944559887,67.6033403420172,66.9515043641191,65.157307372738,62.674936669298,65.720807259343,65.7424627844347,65.8181554021471,65.8181554021471,65.8181554021471,65.8181554021471
156,"CHN","China",0,0,0,0,0,0.766243852694075,1.27382488585982,2.08573493534745,2.01343650753948,1.57506701326324,2.33102762748447,2.45362385586701,3.16830083079429,3.21258609991122,5.32860498454153,6.65757728904093,9.05324535951792,12.2312238457062,15.8429500024528,18.3053118912113,18.2779542801776,16.8846086456535,16.7973226688809,21.1002884448181,22.0552707601399,22.0552707601399,22.0552707601399,22.0552707601399
170,"COL","Colombia",54.7377985325845,54.2841510933201,55.4923405554963,56.4470736741418,56.2531259503303,59.5106272786154,54.4578910103406,52.5656268868081,52.5905497751793,59.9334228344139,65.4738235579177,65.3243591542159,67.112992170541,68.3827483874873,71.3282445734269,72.4600098409993,69.8455056800676,62.7976495854138,64.1786035014394,66.1622869290522,70.6998751756448,69.539225402635,77.8734420776331,66.8455615410136,66.2311966574994,66.2311966574994,66.2311966574994,66.2311966574994
174,"COM","Comoros",95.9333969614198,98.3360298680579,97.982129561165,95.1398070391664,88.1704628024277,100,100,100,100,100,91.8979153598255,78.2741263017748,78.7828448007125,86.1322959007522,96.9183768765738,92.1647348188435,81.8911942956651,75.4418787433408,67.6148013248281,67.9899350953049,67.4822594959147,80.0538000081308,94.3691226423052,66.590341403335,63.6603065634426,63.6603065634426,63.6603065634426,63.6603065634426
184,"COK","Cook Islands",46.7588626131556,48.153589176856,44.7393233679424,42.6234205418564,42.9793848001529,46.8544450818983,49.0528696214909,49.0206409016676,51.0076619725629,52.330239108059,53.2650599260397,51.2243933067593,53.0406730676595,54.0349853081153,56.7146347667185,58.0104967841316,59.6132383604701,61.1949238167625,58.1607808856829,59.4403599633512,59.2852889211907,62.3885131645292,68.9623032320638,62.6775652712794,63.0633895132882,63.0633895132882,63.0633895132882,63.0633895132882
188,"CRI","Costa Rica",57.3011086437699,56.8243771964134,55.5845895509774,54.6879146631744,52.0597987460601,54.2151690330844,49.6825219758733,52.4508846623099,51.503687950347,59.3459039948873,65.3390281260973,66.0711180890563,69.3155937567142,70.6062752615352,76.8494777794658,72.469800757855,68.7618622398632,62.1978031860203,65.2282072541903,67.6942384122183,71.6692306652753,68.9806930463516,75.2642891553289,65.491234858894,64.6263312849983,64.6263312849983,64.6263312849983,64.6263312849983
384,"CIV","Cote d'Ivoire",55.8303536797476,55.1793591537798,54.0313077440129,53.1384748956997,55.6886493098852,64.8145281220682,66.4281816124729,73.0255099311906,73.1606373442279,68.9390362035509,58.8721715992881,48.3299222343909,49.5979418791188,55.9503477562437,63.3472067439427,57.9080875693599,51.7666079990534,46.860845617991,43.4243708528358,42.0259718962967,41.342769929516,46.4370313867825,49.525225127803,40.0791176166992,38.7322347375574,38.7322347375574,38.7322347375574,38.7322347375574
191,"HRV","Croatia",39.4476033159517,40.7465703728601,40.3436327924163,41.2829448820224,40.5035768601688,42.195344726952,42.4473207793262,40.161405252529,39.2197919169231,39.2115446153449,41.3442202163211,41.4833846659357,40.7296519744973,40.910656346016,41.4534144478973,41.8704049506781,40.4996238624914,39.674692501692,40.2317464409333,40.4073404865658,40.9298982417501,41.6669381554788,42.6572155050146,41.6255907013229,41.6435200822343,41.6435200822343,41.6435200822343,41.6435200822343
