"code","iso","country","VOE.ind.1995","VOE.ind.1996","VOE.ind.1997","VOE.ind.1998","VOE.ind.1999","VOE.ind.2000","VOE.ind.2001","VOE.ind.2002","VOE.ind.2003","VOE.ind.2004","VOE.ind.2005","VOE.ind.2006","VOE.ind.2007","VOE.ind.2008","VOE.ind.2009","VOE.ind.2010","VOE.ind.2011","VOE.ind.2012","VOE.ind.2013","VOE.ind.2014","VOE.ind.2015","VOE.ind.2016","VOE.ind.2017","VOE.ind.2018","VOE.ind.2019","VOE.ind.2020","VOE.ind.2021","VOE.ind.2022"
231,"ETH","Ethiopia",18.8611787724525,18.8611787724525,18.8611787724525,18.8611787724525,18.8611787724525,18.8611787724525,18.8611787724525,18.8611787724525,18.8611787724525,18.5855169191423,19.5491738066336,17.7735499330711,18.9068849243879,18.0196173177528,17.8138380214589,15.6437718593211,15.7015403427266,15.2598887934758,14.0372213611919,13.5791885920931,12.7639727614128,12.201984017036,11.140898320784,12.9553823602525,13.0455572561004,13.0455572561004,13.0455572561004,13.0455572561004
234,"FRO","Faeroe Islands",92.3394210245497,92.3394210245497,92.3394210245497,92.3394210245497,92.3394210245497,92.3394210245497,92.3394210245497,92.3394210245497,92.3394210245497,95.8830395533643,96.2229175566324,95.3626604887199,98.0444516015071,96.5471573377823,97.6465920443338,97.559222375644,98.7349112220103,98.3566449789553,97.8879116642631,96.526056966439,98.8622863098037,97.995424088525,99.3969928298499,98.5435219329185,99.1480009858106,99.1480009858106,99.1480009858106,99.1480009858106
238,"FLK","Falkland Islands",100,100,100,100,100,100,100,100,100,94.6908478753181,98.6047134236216,100,99.7409104655397,96.8486799938437,100,100,95.1008994659865,99.4062549929032,100,100,100,100,100,100,100,100,100,100
242,"FJI","Fiji",50.6463674823333,50.6463674823333,50.6463674823333,50.6463674823333,50.6463674823333,50.6463674823333,50.6463674823333,50.6463674823333,50.6463674823333,51.0056891211914,48.5677829613773,50.5133038737909,48.595081357501,48.2628290559366,52.8032207633369,46.1865626434034,45.9084165340702,49.7650955860755,45.6324151218924,45.5890919313061,48.6008710827761,42.0889810301216,50.2817977698981,48.7790638533162,50.0096487496248,50.0096487496248,50.0096487496248,50.0096487496248
246,"FIN","Finland",69.1019183324619,69.1019183324619,69.1019183324619,69.1019183324619,69.1019183324619,69.1019183324619,69.1019183324619,69.1019183324619,69.1019183324619,75.7743139224116,74.9500320214654,72.8432752910634,76.5678664292636,75.3058034860279,71.9622034137577,69.3218412380625,70.4508959084417,77.3885536834242,71.9620502350463,71.7690903361014,77.3952852764749,74.7183699714742,80.7614512387875,75.9208203004212,77.5674373806963,77.5674373806963,77.5674373806963,77.5674373806963
250,"FRA","France",52.7454711363169,52.7454711363169,52.7454711363169,52.7454711363169,52.7454711363169,52.7454711363169,52.7454711363169,52.7454711363169,52.7454711363169,53.5413715047569,55.3468052412585,54.6606954958302,58.7695032852926,56.9586004925714,52.8358138240184,56.2437976565097,54.5871370476535,55.334274504152,57.2246359638152,58.2054142892501,54.8143530639272,56.8774269574083,56.2991919303297,56.9383236619172,57.1316961885501,57.1316961885501,57.1316961885501,57.1316961885501
258,"PYF","French Polynesia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
266,"GAB","Gabon",13.4288058613189,13.4288058613189,13.4288058613189,13.4288058613189,13.4288058613189,13.4288058613189,13.4288058613189,13.4288058613189,13.4288058613189,14.6937984089763,13.6917300633405,13.0808934561101,13.5234244010382,12.3963222703966,13.0590467360035,9.90773033933223,11.0433335196647,12.3277572546775,10.5840757699888,11.0207634574881,8.60319947588377,8.96700663994365,9.16117303914766,8.97981351967539,8.01404873858102,8.01404873858102,8.01404873858102,8.01404873858102
270,"GMB","Gambia",34.2679935007291,34.2679935007291,34.2679935007291,34.2679935007291,34.2679935007291,34.2679935007291,34.2679935007291,34.2679935007291,34.2679935007291,29.9679467834301,31.4423869939668,33.6204593435471,34.2301839090102,31.905339354789,31.6744157901882,25.9957382129006,28.9641917876676,30.8489481505704,28.4297418743884,32.2152441500416,32.67521811806,30.5320764189719,29.4279804847083,30.3627061069744,31.7247737720608,31.7247737720608,31.7247737720608,31.7247737720608
268,"GEO","Georgia",39.906814239141,39.906814239141,39.906814239141,39.906814239141,39.906814239141,39.906814239141,39.906814239141,39.906814239141,39.906814239141,36.875162269092,39.71197089175,30.7324318100961,33.2986713458033,40.3450909803512,43.8559349197123,28.831888141739,37.1036828062793,33.8133259904835,40.2193575779203,33.3295384087444,32.3012889733341,34.7488145224487,30.6558568020791,35.569931067247,36.7274635400714,36.7274635400714,36.7274635400714,36.7274635400714
